schema,table,column,type,length_or_precision,nullable,default_value
bronze,ibkr_account_summary,cash_usd,numeric,20,YES,
bronze,ibkr_account_summary,available_funds,numeric,20,YES,
bronze,ibkr_account_summary,buying_power,numeric,20,YES,
bronze,ibkr_account_summary,position_count,integer,32,YES,
bronze,ibkr_account_summary,fetched_at,timestamp without time zone,"",YES,
bronze,ibkr_contracts,id,integer,32,NO,nextval('bronze.ibkr_contracts_id_seq'::regclass)
bronze,ibkr_contracts,con_id,bigint,64,NO,
bronze,ibkr_contracts,symbol,character varying,16,NO,
bronze,ibkr_contracts,sec_type,character varying,8,NO,
bronze,ibkr_contracts,exchange,character varying,16,YES,
bronze,ibkr_contracts,primary_exchange,character varying,16,YES,
bronze,ibkr_contracts,currency,character varying,4,YES,
bronze,ibkr_contracts,local_symbol,character varying,32,YES,
bronze,ibkr_contracts,trading_class,character varying,16,YES,
bronze,ibkr_contracts,created_at,timestamp with time zone,"",YES,now()
bronze,ibkr_fx_bars,id,integer,32,NO,nextval('bronze.ibkr_fx_bars_id_seq'::regclass)
bronze,ibkr_fx_bars,pair,character varying,10,NO,
bronze,ibkr_fx_bars,bar_size,character varying,20,NO,
bronze,ibkr_fx_bars,timestamp,timestamp with time zone,"",NO,
bronze,ibkr_fx_bars,open_bid,numeric,18,YES,
bronze,ibkr_fx_bars,high_bid,numeric,18,YES,
bronze,ibkr_fx_bars,low_bid,numeric,18,YES,
bronze,ibkr_fx_bars,close_bid,numeric,18,YES,
bronze,ibkr_fx_bars,volume,numeric,18,YES,
bronze,ibkr_fx_bars,ingested_at,timestamp with time zone,"",YES,now()
bronze,ibkr_fx_ticks,id,integer,32,NO,nextval('bronze.ibkr_fx_ticks_id_seq'::regclass)
bronze,ibkr_fx_ticks,pair,character varying,10,NO,
bronze,ibkr_fx_ticks,timestamp,timestamp with time zone,"",NO,
bronze,ibkr_fx_ticks,bid,numeric,18,YES,
bronze,ibkr_fx_ticks,ask,numeric,18,YES,
bronze,ibkr_fx_ticks,ingested_at,timestamp with time zone,"",YES,now()
bronze,ibkr_historical_bars,id,bigint,64,NO,nextval('bronze.ibkr_historical_bars_id_seq'::regclass)
bronze,ibkr_historical_bars,con_id,bigint,64,NO,
bronze,ibkr_historical_bars,bar_time,timestamp with time zone,"",NO,
bronze,ibkr_historical_bars,open,numeric,18,NO,
bronze,ibkr_historical_bars,high,numeric,18,NO,
bronze,ibkr_historical_bars,low,numeric,18,NO,
bronze,ibkr_historical_bars,close,numeric,18,NO,
bronze,ibkr_historical_bars,volume,bigint,64,YES,
bronze,ibkr_historical_bars,bar_size,character varying,8,NO,
bronze,ibkr_historical_bars,what_to_show,character varying,16,NO,
bronze,ibkr_historical_bars,created_at,timestamp with time zone,"",YES,now()
bronze,ibkr_orders,id,integer,32,NO,nextval('bronze.ibkr_orders_id_seq'::regclass)
bronze,ibkr_orders,account,character varying,50,YES,
bronze,ibkr_orders,order_id,bigint,64,YES,
bronze,ibkr_orders,client_id,bigint,64,YES,
bronze,ibkr_orders,perm_id,bigint,64,YES,
bronze,ibkr_orders,ticker,character varying,50,YES,
bronze,ibkr_orders,action,character varying,20,YES,
bronze,ibkr_orders,quantity,numeric,18,YES,
bronze,ibkr_orders,order_type,character varying,20,YES,
bronze,ibkr_orders,limit_price,numeric,18,YES,
bronze,ibkr_orders,aux_price,numeric,18,YES,
bronze,ibkr_orders,tif,character varying,10,YES,
bronze,ibkr_orders,status,character varying,50,YES,
bronze,ibkr_orders,filled,numeric,18,YES,
bronze,ibkr_orders,remaining,numeric,18,YES,
bronze,ibkr_orders,avg_fill_price,numeric,18,YES,
bronze,ibkr_orders,last_fill_price,numeric,18,YES,
bronze,ibkr_orders,commission,numeric,18,YES,
bronze,ibkr_orders,realized_pnl,numeric,18,YES,
bronze,ibkr_orders,submit_time,timestamp with time zone,"",YES,
bronze,ibkr_orders,execution_time,timestamp with time zone,"",YES,
bronze,ibkr_orders,gtc,boolean,"",YES,false
bronze,ibkr_orders,exchange,character varying,20,YES,
bronze,ibkr_orders,currency,character varying,10,YES,
bronze,ibkr_orders,con_id,bigint,64,YES,
bronze,ibkr_orders,local_symbol,character varying,50,YES,
bronze,ibkr_orders,notes,text,"",YES,
bronze,ibkr_orders,raw_json,jsonb,"",YES,
bronze,ibkr_orders,fetched_at,timestamp with time zone,"",YES,now()
bronze,ibkr_positions,id,integer,32,NO,nextval('bronze.ibkr_positions_id_seq'::regclass)
bronze,ibkr_positions,account,character varying,16,NO,
bronze,ibkr_positions,con_id,bigint,64,NO,
bronze,ibkr_positions,symbol,character varying,16,NO,
bronze,ibkr_positions,sec_type,character varying,8,NO,
bronze,ibkr_positions,exchange,character varying,16,YES,
bronze,ibkr_positions,currency,character varying,4,YES,
bronze,ibkr_positions,position,numeric,18,NO,
bronze,ibkr_positions,avg_cost,numeric,18,YES,
bronze,ibkr_positions,recorded_at,timestamp with time zone,"",YES,now()
bronze,ibkr_positions_live,id,integer,32,NO,nextval('bronze.ibkr_positions_live_id_seq'::regclass)
bronze,ibkr_positions_live,account,character varying,50,NO,
bronze,ibkr_positions_live,ticker,character varying,20,NO,
bronze,ibkr_positions_live,conid,integer,32,YES,
bronze,ibkr_positions_live,asset_class,character varying,20,YES,
bronze,ibkr_positions_live,quantity,numeric,18,YES,
bronze,ibkr_positions_live,avg_cost,numeric,18,YES,
bronze,ibkr_positions_live,market_price,numeric,18,YES,
bronze,ibkr_positions_live,market_value,numeric,18,YES,
bronze,ibkr_positions_live,unrealized_pnl,numeric,18,YES,
bronze,ibkr_positions_live,unrealized_pnl_pct,numeric,18,YES,
bronze,ibkr_positions_live,currency,character varying,10,YES,
bronze,ibkr_positions_live,exchange,character varying,20,YES,
bronze,ibkr_positions_live,fetched_at,timestamp with time zone,"",YES,now()
bronze,institutional_holdings,id,integer,32,NO,nextval('bronze.institutional_holdings_id_seq'::regclass)
bronze,institutional_holdings,ticker,character varying,20,NO,
bronze,institutional_holdings,report_date,date,"",NO,
bronze,institutional_holdings,filing_date,date,"",YES,
bronze,institutional_holdings,institutional_holders,integer,32,YES,
bronze,institutional_holdings,institutional_pct,double precision,53,YES,
bronze,institutional_holdings,insider_pct,double precision,53,YES,
bronze,institutional_holdings,top_holder_name,character varying,200,YES,
bronze,institutional_holdings,top_holder_pct,double precision,53,YES,
bronze,institutional_holdings,shares_outstanding,bigint,64,YES,
bronze,institutional_holdings,institutional_shares,bigint,64,YES,
bronze,institutional_holdings,shares_change_qoq,bigint,64,YES,
bronze,institutional_holdings,holders_change_qoq,integer,32,YES,
bronze,institutional_holdings,new_positions,integer,32,YES,
bronze,institutional_holdings,closed_positions,integer,32,YES,
bronze,institutional_holdings,accumulation_score,double precision,53,YES,
bronze,institutional_holdings,source,character varying,50,YES,'yfinance'::character varying
bronze,institutional_holdings,created_at,timestamp without time zone,"",YES,now()
bronze,institutional_holdings,updated_at,timestamp without time zone,"",YES,now()
bronze,manual_earnings,id,bigint,64,NO,nextval('bronze.manual_earnings_id_seq'::regclass)
bronze,manual_earnings,ticker,character varying,50,NO,
bronze,manual_earnings,report_date,date,"",NO,
bronze,manual_earnings,fiscal_quarter,character varying,10,YES,
bronze,manual_earnings,eps_estimate,numeric,18,YES,
bronze,manual_earnings,eps_actual,numeric,18,YES,
bronze,manual_earnings,revenue_estimate,bigint,64,YES,
bronze,manual_earnings,revenue_actual,bigint,64,YES,
bronze,manual_earnings,source_notes,text,"",YES,
bronze,manual_earnings,entered_by,character varying,100,YES,
bronze,manual_earnings,raw_data,jsonb,"",YES,
bronze,manual_earnings,ingested_at,timestamp without time zone,"",YES,now()
bronze,nfp_consensus_proxy,date,date,"",NO,
bronze,nfp_consensus_proxy,actual,numeric,"",YES,
bronze,nfp_consensus_proxy,forecast,numeric,"",YES,
bronze,nfp_consensus_proxy,surprise,numeric,"",YES,
bronze,nfp_consensus_proxy,source,text,"",YES,
bronze,nfp_consensus_proxy,created_at,timestamp with time zone,"",YES,now()
bronze,raw_news,date,timestamp without time zone,"",NO,
bronze,raw_news,id,integer,32,NO,nextval('bronze.raw_news_id_seq'::regclass)
bronze,raw_news,category,character varying,50,YES,
bronze,raw_news,entity_name,character varying,100,YES,
bronze,raw_news,headline,text,"",YES,
bronze,raw_news,source,character varying,100,YES,
bronze,raw_news,raw_content,text,"",YES,
bronze,raw_news,ingested_at,timestamp without time zone,"",YES,CURRENT_TIMESTAMP
bronze,raw_stock_data,date,timestamp without time zone,"",NO,
bronze,raw_stock_data,id,integer,32,NO,nextval('bronze.raw_stock_data_id_seq'::regclass)
bronze,raw_stock_data,ticker,character varying,20,NO,
bronze,raw_stock_data,open,double precision,53,YES,
bronze,raw_stock_data,high,double precision,53,YES,
bronze,raw_stock_data,low,double precision,53,YES,
bronze,raw_stock_data,close,double precision,53,YES,
bronze,raw_stock_data,volume,double precision,53,YES,
bronze,raw_stock_data,ingested_at,timestamp without time zone,"",YES,CURRENT_TIMESTAMP
bronze,raw_stock_data,asset_category,character varying,20,YES,
bronze,yf_commodity_futures,id,bigint,64,NO,nextval('bronze.yf_commodity_futures_id_seq'::regclass)
bronze,yf_commodity_futures,ticker,character varying,50,NO,
bronze,yf_commodity_futures,name,character varying,100,YES,
bronze,yf_commodity_futures,category,character varying,50,YES,
bronze,yf_commodity_futures,exchange,character varying,20,YES,
bronze,yf_commodity_futures,date,date,"",NO,
bronze,yf_commodity_futures,open,numeric,18,YES,
bronze,yf_commodity_futures,high,numeric,18,YES,
bronze,yf_commodity_futures,low,numeric,18,YES,
bronze,yf_commodity_futures,close,numeric,18,YES,
bronze,yf_commodity_futures,volume,bigint,64,YES,
bronze,yf_commodity_futures,adjusted_close,numeric,18,YES,
bronze,yf_commodity_futures,raw_data,jsonb,"",YES,
bronze,yf_commodity_futures,ingested_at,timestamp without time zone,"",YES,now()
bronze,yf_prices,id,bigint,64,NO,nextval('bronze.yf_prices_id_seq'::regclass)
bronze,yf_prices,ticker,character varying,50,NO,
bronze,yf_prices,date,date,"",NO,
bronze,yf_prices,open,numeric,18,YES,
bronze,yf_prices,high,numeric,18,YES,
bronze,yf_prices,low,numeric,18,YES,
bronze,yf_prices,close,numeric,18,YES,
bronze,yf_prices,volume,bigint,64,YES,
bronze,yf_prices,adjusted_close,numeric,18,YES,
bronze,yf_prices,dividends,numeric,18,YES,
bronze,yf_prices,stock_splits,numeric,10,YES,
bronze,yf_prices,raw_data,jsonb,"",YES,
bronze,yf_prices,ingested_at,timestamp without time zone,"",YES,now()
consumption,agent_health,id,integer,32,NO,nextval('consumption.agent_health_id_seq'::regclass)
consumption,agent_health,agent_id,text,"",NO,
consumption,agent_health,last_run_at,timestamp without time zone,"",YES,
consumption,agent_health,last_event_type,text,"",YES,
consumption,agent_health,status,text,"",YES,'unknown'::text
consumption,agent_health,experiments_processed_24h,integer,32,YES,0
consumption,agent_health,experiments_passed_24h,integer,32,YES,0
consumption,agent_health,avg_cycle_minutes,numeric,8,YES,
consumption,agent_health,last_error,text,"",YES,
consumption,agent_health,updated_at,timestamp without time zone,"",YES,now()
consumption,commodities,id,integer,32,NO,nextval('consumption.commodities_id_seq'::regclass)
consumption,commodities,timestamp,timestamp without time zone,"",YES,
consumption,commodities,asset,character varying,50,YES,
consumption,commodities,ticker,character varying,20,YES,
consumption,commodities,action,character varying,10,YES,
consumption,commodities,close_price,double precision,53,YES,
consumption,commodities,daily_change,double precision,53,YES,
consumption,commodities,est_1d,character varying,20,YES,
consumption,commodities,est_7d,character varying,20,YES,
consumption,commodities,est_1m,character varying,20,YES,
consumption,commodities,stop_loss,character varying,20,YES,
consumption,commodities,rr_ratio,character varying,20,YES,
consumption,commodities,vol_category,character varying,10,YES,
consumption,commodities,sparkline,json,"",YES,
consumption,commodities,reasoning,text,"",YES,
consumption,commodities,logic_badges,json,"",YES,
consumption,commodities,confidence_drivers,json,"",YES,
consumption,commodities,trad_confidence,double precision,53,YES,
consumption,commodities,swarm_confidence,double precision,53,YES,
consumption,commodities,win_rate,double precision,53,YES,
consumption,commodities,strategy_tags,json,"",YES,
consumption,commodities,candlestick_pattern,character varying,100,YES,
consumption,commodity,id,integer,32,YES,
consumption,commodity,updated_at,timestamp without time zone,"",YES,
consumption,commodity,asset,character varying,50,YES,
consumption,commodity,ticker,character varying,20,YES,
consumption,commodity,action,character varying,10,YES,
consumption,commodity,close_price,double precision,53,YES,
consumption,commodity,daily_change,double precision,53,YES,
consumption,commodity,est_1d,character varying,20,YES,
consumption,commodity,est_7d,character varying,20,YES,
consumption,commodity,est_1m,character varying,20,YES,
consumption,commodity,stop_loss,character varying,20,YES,
consumption,commodity,rr_ratio,character varying,20,YES,
consumption,commodity,vol_category,character varying,10,YES,
consumption,commodity,sparkline,json,"",YES,
consumption,commodity,reasoning,text,"",YES,
consumption,commodity,logic_badges,json,"",YES,
consumption,commodity,confidence_drivers,json,"",YES,
consumption,commodity,trad_confidence,double precision,53,YES,
consumption,commodity,swarm_confidence,double precision,53,YES,
consumption,commodity,win_rate,double precision,53,YES,
consumption,commodity,strategy_tags,json,"",YES,
consumption,commodity,candlestick_pattern,character varying,100,YES,
consumption,cot_snapshot,instrument,character varying,50,NO,
consumption,cot_snapshot,last_date,date,"",YES,
consumption,cot_snapshot,report_date,date,"",YES,
consumption,cot_snapshot,noncomm_long,bigint,64,YES,
consumption,cot_snapshot,noncomm_short,bigint,64,YES,
consumption,cot_snapshot,net_noncomm,bigint,64,YES,
consumption,cot_snapshot,cot_z,numeric,12,YES,
consumption,cot_snapshot,sentiment,character varying,20,YES,
consumption,cot_snapshot,signal_flag,integer,32,YES,
consumption,cot_snapshot,updated_at,timestamp with time zone,"",YES,now()
consumption,crypto,id,integer,32,YES,
consumption,crypto,date,timestamp without time zone,"",YES,
consumption,crypto,ticker,character varying,20,YES,
consumption,crypto,close_price,double precision,53,YES,
consumption,crypto,log_return,double precision,53,YES,
consumption,crypto,volume_24h,bigint,64,YES,
consumption,crypto,market_cap_usd,double precision,53,YES,
consumption,crypto,btc_dominance,double precision,53,YES,
consumption,crypto,eth_gas_price_gwei,double precision,53,YES,
consumption,crypto,hash_rate_th_s,double precision,53,YES,
consumption,crypto,exchange_inflow_proxy,double precision,53,YES,
consumption,crypto,exchange_outflow_proxy,double precision,53,YES,
consumption,crypto,fear_greed_index,integer,32,YES,
consumption,crypto,stablecoin_supply_ratio,double precision,53,YES,
consumption,crypto,funding_rate,double precision,53,YES,
consumption,crypto,open_interest_usd,double precision,53,YES,
consumption,crypto,liquidations_24h_usd,double precision,53,YES,
consumption,crypto,rsi_14,double precision,53,YES,
consumption,crypto,macd_histogram,double precision,53,YES,
consumption,crypto,bollinger_width,double precision,53,YES,
consumption,crypto,mvrv_z_score,double precision,53,YES,
consumption,crypto,nvt_ratio,double precision,53,YES,
consumption,crypto,prophet_forecast,double precision,53,YES,
consumption,crypto,lsd_divergence_score,double precision,53,YES,
consumption,crypto,candlestick_pattern,character varying,100,YES,
consumption,crypto,candlestick_sentiment,double precision,53,YES,
consumption,crypto_funding_snapshot,symbol,character varying,50,NO,
consumption,crypto_funding_snapshot,last_date,date,"",YES,
consumption,crypto_funding_snapshot,funding_rate_8h,numeric,18,YES,
consumption,crypto_funding_snapshot,funding_z,numeric,12,YES,
consumption,crypto_funding_snapshot,n_obs,integer,32,YES,
consumption,crypto_funding_snapshot,regime,character varying,20,YES,
consumption,crypto_funding_snapshot,signal_flag,integer,32,YES,
consumption,crypto_funding_snapshot,updated_at,timestamp with time zone,"",YES,now()
consumption,dashboard_market_overview,id,integer,32,NO,nextval('consumption.dashboard_market_overview_id_seq'::regclass)
consumption,dashboard_market_overview,region,character varying,50,NO,
consumption,dashboard_market_overview,index_name,character varying,50,YES,
consumption,dashboard_market_overview,index_ticker,character varying,20,YES,
consumption,dashboard_market_overview,current_value,numeric,15,YES,
consumption,dashboard_market_overview,change_pct,numeric,10,YES,
consumption,dashboard_market_overview,change_value,numeric,15,YES,
consumption,dashboard_market_overview,trend,character varying,20,YES,
consumption,dashboard_market_overview,sentiment_score,numeric,5,YES,
consumption,dashboard_market_overview,volatility_index,numeric,8,YES,
consumption,dashboard_market_overview,updated_at,timestamp without time zone,"",YES,now()
consumption,dashboard_opportunities_top,id,integer,32,NO,nextval('consumption.dashboard_opportunities_top_id_seq'::regclass)
consumption,dashboard_opportunities_top,ticker,text,"",NO,
consumption,dashboard_opportunities_top,name,text,"",YES,
consumption,dashboard_opportunities_top,sector,text,"",YES,
consumption,dashboard_opportunities_top,signal_type,text,"",YES,
consumption,dashboard_opportunities_top,score,numeric,"",YES,
consumption,dashboard_opportunities_top,entry_price,numeric,"",YES,
consumption,dashboard_opportunities_top,target_price,numeric,"",YES,
consumption,dashboard_opportunities_top,stop_loss,numeric,"",YES,
consumption,dashboard_opportunities_top,risk_reward,numeric,"",YES,
consumption,dashboard_opportunities_top,updated_at,timestamp with time zone,"",YES,now()
consumption,dashboard_opportunities_top,rank,integer,32,YES,
consumption,dashboard_opportunities_top,asset_class,text,"",YES,
consumption,dashboard_opportunities_top,direction,text,"",YES,
consumption,dashboard_opportunities_top,confidence,numeric,"",YES,
consumption,dashboard_opportunities_top,rationale,text,"",YES,
consumption,dashboard_opportunities_top,catalyst,text,"",YES,
consumption,dashboard_opportunities_top,timeframe,text,"",YES,
consumption,dashboard_opportunities_top,technical_setup,text,"",YES,
consumption,dashboard_opportunities_top,expected_return_pct,numeric,"",YES,
consumption,dashboard_opportunities_top,take_profit,numeric,"",YES,
consumption,dashboard_opportunities_top,position_size_pct,numeric,"",YES,
consumption,dashboard_opportunities_top,strategy_id,text,"",YES,
consumption,dashboard_opportunities_top,created_at,timestamp with time zone,"",YES,now()
consumption,dashboard_summary_cards,id,integer,32,NO,nextval('consumption.dashboard_summary_cards_id_seq'::regclass)
consumption,dashboard_summary_cards,card_key,character varying,50,NO,
consumption,dashboard_summary_cards,card_title,character varying,100,NO,
consumption,dashboard_summary_cards,value_display,character varying,50,YES,
consumption,dashboard_summary_cards,value_numeric,numeric,18,YES,
consumption,dashboard_summary_cards,change_pct,numeric,10,YES,
consumption,dashboard_summary_cards,change_display,character varying,50,YES,
consumption,dashboard_summary_cards,trend,character varying,20,YES,
consumption,dashboard_summary_cards,alert_level,character varying,20,YES,
consumption,dashboard_summary_cards,last_updated,timestamp without time zone,"",YES,now()
consumption,fx,id,integer,32,YES,
consumption,fx,date,timestamp without time zone,"",YES,
consumption,fx,ticker,character varying,20,YES,
consumption,fx,close_price,double precision,53,YES,
consumption,fx,log_return,double precision,53,YES,
consumption,fx,interest_rate_diff,double precision,53,YES,
consumption,fx,dxy_correlation,double precision,53,YES,
consumption,fx,volatility_24h,double precision,53,YES,
consumption,fx,rsi_14,double precision,53,YES,
consumption,fx,macd_histogram,double precision,53,YES,
consumption,fx,bollinger_width,double precision,53,YES,
consumption,fx,prophet_forecast,double precision,53,YES,
consumption,fx,market_regime,character varying,20,YES,
consumption,fx,candlestick_pattern,character varying,100,YES,
consumption,fx,candlestick_sentiment,double precision,53,YES,
consumption,fx,stoch_k,numeric,8,YES,
consumption,fx,stoch_d,numeric,8,YES,
consumption,fx,stoch_oversold,boolean,"",YES,
consumption,fx,stoch_overbought,boolean,"",YES,
consumption,fx,adx,numeric,8,YES,
consumption,fx,adx_plus_di,numeric,8,YES,
consumption,fx,adx_minus_di,numeric,8,YES,
consumption,fx,adx_trend_strength,character varying,20,YES,
consumption,fx,psar,numeric,12,YES,
consumption,fx,psar_direction,character varying,10,YES,
consumption,fx,psar_flip,boolean,"",YES,
consumption,fx,macd_line,numeric,12,YES,
consumption,fx,macd_signal,numeric,12,YES,
consumption,fx,open,numeric,"",YES,
consumption,fx,high,numeric,"",YES,
consumption,fx,low,numeric,"",YES,
consumption,fx,atr_14,numeric,"",YES,
consumption,fx,volatility_20d,numeric,"",YES,
consumption,fx,sma_5,numeric,"",YES,
consumption,fx,sma_20,numeric,"",YES,
consumption,fx,sma_50,numeric,"",YES,
consumption,global_state,id,integer,32,NO,nextval('consumption.global_state_id_seq'::regclass)
consumption,global_state,key,character varying,100,YES,
consumption,global_state,value,text,"",YES,
consumption,global_state,category,character varying,50,YES,
consumption,global_state,timestamp,timestamp without time zone,"",YES,CURRENT_TIMESTAMP
consumption,global_state,rationale,text,"",YES,
consumption,global_state,estimates,jsonb,"",YES,
consumption,hft_matrix,timestamp,timestamp without time zone,"",NO,
consumption,hft_matrix,id,integer,32,NO,nextval('consumption.hft_matrix_id_seq'::regclass)
consumption,hft_matrix,ticker,character varying,20,NO,
consumption,hft_matrix,asset_class,character varying,20,YES,
consumption,hft_matrix,liquidity_momentum,character varying,20,YES,
consumption,hft_matrix,fusion_signal,character varying,20,YES,
consumption,hft_matrix,shock_warning,character varying,20,YES,
consumption,hft_matrix,pressure_value,double precision,53,YES,
consumption,hft_matrix,reasoning,text,"",YES,
consumption,hft_matrix,velocity_estimates,jsonb,"",YES,
consumption,hkex_ipo_sector_performance,sector,character varying,100,YES,
consumption,hkex_ipo_sector_performance,ipo_count,bigint,64,YES,
consumption,hkex_ipo_sector_performance,avg_first_day_return,numeric,"",YES,
consumption,hkex_ipo_sector_performance,avg_day30_return,numeric,"",YES,
consumption,hkex_ipo_sector_performance,avg_oversubscription,numeric,"",YES,
consumption,hkex_ipo_sector_performance,win_rate,numeric,"",YES,
consumption,index_metrics,date,date,"",YES,
consumption,index_metrics,ticker,character varying,20,YES,
consumption,index_metrics,name,character varying,100,YES,
consumption,index_metrics,market,character varying,10,YES,
consumption,index_metrics,region,character varying,50,YES,
consumption,index_metrics,currency,character varying,10,YES,
consumption,index_metrics,open,numeric,"",YES,
consumption,index_metrics,high,numeric,"",YES,
consumption,index_metrics,low,numeric,"",YES,
consumption,index_metrics,close,numeric,"",YES,
consumption,index_metrics,volume,bigint,64,YES,
consumption,index_metrics,change_pct,numeric,"",YES,
consumption,index_metrics,change_amount,numeric,"",YES,
consumption,index_metrics,ytd_change,numeric,"",YES,
